Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2022-02-06,Dortmund,Leverkusen,2,5,A,1,3,A,,14,10,6,7,8,10,7,6,1,1,0,0
2022-02-06,Wolfsburg,Greuther Furth,4,1,H,1,1,D,,11,8,6,4,11,13,2,3,1,2,0,0
2022-02-11,RB Leipzig,FC Koln,3,1,H,1,0,H,,6,9,4,2,6,11,5,6,1,2,0,0
2022-02-12,Bochum,Bayern Munich,4,2,H,4,1,H,,12,22,7,4,13,7,4,9,2,1,0,0
2022-02-12,Ein Frankfurt,Wolfsburg,0,2,A,0,1,A,,16,11,2,3,12,9,10,1,1,2,0,0
2022-02-12,Freiburg,Mainz,1,1,D,0,1,A,,16,20,5,5,14,15,7,3,0,2,0,0
2022-02-12,Greuther Furth,Hertha,2,1,H,1,0,H,,19,24,10,8,11,12,8,8,2,4,0,0
2022-02-12,M'gladbach,Augsburg,3,2,H,1,0,H,,14,14,5,8,8,12,3,2,2,2,0,0
2022-02-12,Leverkusen,Stuttgart,4,2,H,1,0,H,,20,8,6,5,10,6,10,0,3,2,0,0
2022-02-13,Union Berlin,Dortmund,0,3,A,0,2,A,,12,10,2,6,20,9,2,5,4,1,0,0
2022-02-13,Hoffenheim,Bielefeld,2,0,H,1,0,H,,25,8,9,4,12,12,13,3,2,0,0,0
2022-02-18,Mainz,Leverkusen,3,2,H,0,1,A,,17,8,5,6,15,13,6,2,2,2,0,0
2022-02-19,Augsburg,Freiburg,1,2,A,1,2,A,,18,15,4,5,11,8,11,4,1,1,0,0
2022-02-19,Bielefeld,Union Berlin,1,0,H,0,0,D,,11,11,3,4,6,15,6,4,0,2,0,0
2022-02-19,Stuttgart,Bochum,1,1,D,0,0,D,,15,13,7,5,7,17,6,0,0,4,0,0
2022-02-19,Wolfsburg,Hoffenheim,1,2,A,1,0,H,,14,10,6,4,10,17,5,2,1,2,0,0
2022-02-19,FC Koln,Ein Frankfurt,1,0,H,0,0,D,,13,10,8,2,9,16,5,6,1,2,0,0
2022-02-20,Bayern Munich,Greuther Furth,4,1,H,0,1,A,,22,8,8,3,15,17,6,4,2,1,0,0
2022-02-20,Dortmund,M'gladbach,6,0,H,2,0,H,,16,8,10,5,17,11,5,5,2,1,0,0
2022-02-20,Hertha,RB Leipzig,1,6,A,0,1,A,,8,16,4,10,10,8,3,10,2,3,1,0
2022-02-25,Hoffenheim,Stuttgart,2,1,H,0,0,D,,19,13,7,4,14,13,9,3,3,2,0,0
2022-02-26,Freiburg,Hertha,3,0,H,1,0,H,,16,17,5,2,13,10,6,6,1,2,0,0
2022-02-26,Greuther Furth,FC Koln,1,1,D,0,0,D,,13,17,5,5,15,13,7,11,1,2,0,0
2022-02-26,Leverkusen,Bielefeld,3,0,H,1,0,H,,21,8,9,3,8,10,6,3,0,1,0,0
2022-02-26,M'gladbach,Wolfsburg,2,2,D,1,2,A,,23,6,11,3,12,14,7,4,2,4,0,1
2022-02-26,Union Berlin,Mainz,3,1,H,1,0,H,,7,14,3,1,13,18,2,6,4,4,0,1
2022-02-26,Ein Frankfurt,Bayern Munich,0,1,A,0,0,D,,7,20,2,9,16,3,2,8,1,2,0,0
2022-02-27,Bochum,RB Leipzig,0,1,A,0,0,D,,13,6,2,1,15,9,5,0,1,1,0,0
2022-02-27,Augsburg,Dortmund,1,1,D,0,1,A,,8,11,3,7,15,8,5,5,2,1,0,0
2022-03-04,Bielefeld,Augsburg,0,1,A,0,0,D,,6,7,1,1,12,10,6,1,3,5,0,0
2022-03-05,Bayern Munich,Leverkusen,1,1,D,1,1,D,,20,9,6,2,10,14,7,2,1,2,0,0
2022-03-05,Bochum,Greuther Furth,2,1,H,1,0,H,,15,9,9,2,16,14,3,6,2,4,0,0
2022-03-05,Hertha,Ein Frankfurt,1,4,A,0,1,A,,10,12,4,6,10,16,3,8,2,2,0,0
2022-03-05,RB Leipzig,Freiburg,1,1,D,0,1,A,,14,4,5,3,8,15,4,1,1,0,0,0
2022-03-05,Wolfsburg,Union Berlin,1,0,H,1,0,H,,9,17,3,5,12,15,6,10,0,1,0,0
2022-03-05,Stuttgart,M'gladbach,3,2,H,1,2,A,,18,9,7,3,7,10,5,2,1,2,0,0
2022-03-06,FC Koln,Hoffenheim,0,1,A,0,0,D,,10,13,3,3,9,12,4,1,1,4,0,0
2022-03-12,Freiburg,Wolfsburg,3,2,H,2,0,H,,16,11,8,5,11,9,7,5,2,0,0,0
2022-03-12,Hoffenheim,Bayern Munich,1,1,D,1,1,D,,9,18,6,8,12,9,3,8,4,1,0,0
2022-03-12,Union Berlin,Stuttgart,1,1,D,1,0,H,,11,11,3,3,25,12,3,3,3,2,0,0
2022-03-12,M'gladbach,Hertha,2,0,H,1,0,H,,12,12,5,3,7,17,3,6,3,0,0,0
2022-03-13,Leverkusen,FC Koln,0,1,A,0,0,D,,15,6,3,3,13,19,7,0,2,2,0,0
